0,mains,mains,microwave,lighting,outlets_unknown,furance,outlets_unknown,washer_dryer,washer_dryer,subpanel,subpanel,electric_heat,electric_heat,lighting,outlets_unknown,bathroom_gfi,lighting,refrigerator,lighting,dishwaser,disposal,electronics,lighting,kitchen_outlets,kitchen_outlets,outdoor_outlets
2011-04-18 04:24:00,115.622105263,196.485614035,3.375,0.0,4.0,6.0,0.25,0.0,0.0,12.5,7.5,0.0,0.0,3.0,0.0,1.0,0.0,159.0625,1.0,1.0625,0.0,8.59375,67.5,0.0,0.0,0.0
2011-04-18 04:25:00,115.726808511,195.715106383,4.0,0.0,4.0,6.0,0.0,0.0,0.0,12.5,7.5,0.0,0.0,3.0,0.0,1.0,0.0,159.0,1.0,1.0,0.0,7.5,67.5,0.0,0.0,0.0
2011-04-18 04:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-18 04:27:00,115.481071429,150.26625,3.42857142857,0.0,4.0,6.0,0.214285714286,0.0,0.0,12.5,6.42857142857,0.0,0.0,3.0,0.0,1.0,0.0,89.8571428571,1.0,1.14285714286,0.0,8.21428571429,67.5,0.0,0.0,0.0
2011-04-18 04:28:00,115.385666667,67.3761666667,3.2,0.0,4.0,6.13333333333,0.0666666666667,0.0,0.0,12.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.4,1.0,1.06666666667,0.0,8.33333333333,67.5,0.0,0.0,0.0
2011-04-18 04:29:00,115.285833333,67.4241666667,3.4,0.0,4.0,6.0,0.0666666666667,0.0,0.0,12.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.6,1.0,1.2,0.0,8.33333333333,67.5,0.0,0.0,0.0
2011-04-18 04:30:00,115.222833333,67.3156666667,3.53333333333,0.0,4.0,6.0,0.0666666666667,0.0,0.0,12.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.533333333333,1.0,1.13333333333,0.0,8.33333333333,67.5,0.0,0.0,0.0
2011-04-18 04:31:00,114.940166667,67.1936666667,3.46666666667,0.0,4.0,6.0,0.266666666667,0.0,0.0,12.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.533333333333,1.0,1.06666666667,0.0,8.66666666667,67.5,0.0,0.0,0.0
2011-04-18 04:32:00,114.584666667,67.1271666667,3.53333333333,0.0,4.0,6.0,0.133333333333,0.0,0.0,12.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.6,1.0,1.2,0.0,8.16666666667,67.5,0.0,0.0,0.0
2011-04-18 04:33:00,114.0715,67.0585,3.4,0.0,4.0,6.0,0.0666666666667,0.0,0.0,12.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.733333333333,1.0,1.0,0.0,8.0,67.5,0.0,0.0,0.0
2011-04-18 04:34:00,114.1165,67.1163333333,3.66666666667,0.0,4.0,6.0,0.266666666667,0.0,0.0,12.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.4,1.0,1.0,0.0,8.0,67.5,0.0,0.0,0.0
2011-04-18 04:35:00,114.002666667,67.185,3.625,0.0,4.0,6.0,0.0625,0.0,0.0,12.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.6875,1.0,1.0,0.0,8.4375,67.5,0.0,0.0,0.0
2011-04-18 04:36:00,114.610333333,67.3046666667,3.28571428571,0.0,4.0,6.0,0.142857142857,0.0,0.0,12.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,8.39285714286,67.5,0.0,0.0,0.0
2011-04-18 04:37:00,115.572,67.354,3.66666666667,0.0,4.0,6.0,0.133333333333,0.0,0.0,12.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.6,1.0,1.0,0.0,8.66666666667,67.5,0.0,0.0,0.0
2011-04-18 04:38:00,115.606666667,67.2308333333,3.33333333333,0.0,4.0,6.0,0.0666666666667,0.0,0.0,12.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.466666666667,1.0,1.0,0.0,8.5,67.6666666667,0.0,0.0,0.0
2011-04-18 04:39:00,115.725166667,67.7033333333,4.2,0.0,3.93333333333,6.0,0.0,0.0,0.0,12.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.2,1.0,1.0,0.0,8.16666666667,67.5,0.0,0.0,0.0
2011-04-18 04:40:00,115.724833333,67.6841666667,4.0625,0.0,4.0,6.0,0.0625,0.0,0.0,12.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.6875,1.0,1.0625,0.0,7.96875,67.65625,0.0,0.0,0.0
2011-04-18 04:41:00,114.378823529,67.7570588235,4.33333333333,0.0,4.0,6.33333333333,0.333333333333,0.0,0.0,12.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.33333333333,0.0,8.33333333333,67.5,0.0,0.0,0.0
2011-04-18 04:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,
